name,description,averageRating,ratingCount,fiveStarRatings,fourStarRatings,recentChanges
Banco Pichincha,Versión Final de Producción,3.7,68,39,7,[Se realizan ajustes de conexiones con ipv6]
Bancamía,"Bancamía fortalecer su cercanía con el cliente a través de BancaMóvil, permitiendole acceder a servicios transaccionales como: consultas, pagos de obligaciones, recargas de celular, transferencias a otras cuentas Bancamía; y recibir las notificaciones sobre sus transacciones. Para Registrarse en Banca Móvil siga los siguientes pasos: 1) Llame a la Lineamía 01 8000 126 100, desde Bogotá (1) 307 70 21 y desde Medellín (4) 444 50 22, para recibir el código de registro 2) Regístrese desde la aplicación en la opción ""Registrarme"" con el código de registro entregado por Lineamía 3) Asigne sus clave así: - Contraseña: Siete (7) números que no se repitan y no sean consecutivos. Esta contraseña es para el inicio de sesión en su Banca Móvil - Pin Transaccional: Seis (6) números que no se repitan y no sean consecutivos. Este Pin Transaccional es para autorizar las transacciones monetarias de su BancaMóvil Recuerde por seguridad no compartir sus claves con terceros y siempre cerrar la sesión de su BancaMóvil cuando finalice sus transacciones. El canal BancaMóvil ha llegado para apoyar el progreso de todos los clientes de Bancamía.",4.0,82,54,9,[Actualización compatibilidad android versión 7]
Apportes en Línea,"Con Apportes en Línea liquidar su seguridad social como independiente y realizar consultas es más fácil de lo que imagina. Consulte sus planillas pendientes de pago, solicite certificados y recíbalos en su correo electrónico, permitiéndole ahorrar tiempo y contar con toda la información que necesita para realizar el pago de su planilla. Con esta versión tendrá acceso a los siguientes servicios: • Consulta y eliminación de planillas generadas. • Consulta de claves de pago. • Crear novedades de ingreso, retiro y variación salarial temporal o permanente. • Consulta de fechas de vencimiento para el pago de seguridad social. • Solicitud de certificados de pago. ¡Con Apportes en Línea todo es más fácil, rápido y confiable!",3.1,156,58,19,[]
MetaTrader 4,"¡Opera en el mercado Fórex (Forex) a través de tu smartphone o tableta! MetaTrader 4 es la plataforma más popular del mundo para comerciar en el mercado Fórex. Tiene a su disposición cientos de compañías de corretaje y miles de servidores para comerciar a través de la aplicación MetaTrader 4 Android. Con ella se pueden realizar transacciones comerciales y analizar el mercado Fórex con ayuda de indicadores técnicos y objetos gráficos. TRADING * Cotizaciones de instrumentos financieros en tiempo real. * Conjunto completo de órdenes comerciales, incluyendo las órdenes pendientes. * Todo tipo de operaciones comerciales en Fórex. * Historia detallada de trading COMODIDAD DE USO * Rápida transición entre instrumentos comerciales en los gráficos * Notificaciones acústicas * Ajuste del esquema de color de los gráficos * Niveles comerciales para la observación de los precios de las órdenes pendientes y los valores de SL y TP en el gráfico * Noticias financieras gratuitas, decenas de materiales diferentes diariamente * Posibilidad de comunicarse a través del chat con cualquier usuario registrado en MQL5.community * Soporte de notificaciones push desde la versión de escritorio de MetaTrader 4 y los servicios MQL5.community ANÁLISIS TÉCNICO * Gráficos de cotizaciones interactivos con escalamiento y desplazamiento en tiempo real. * los 30 indicadores técnicos más populares * 24 objetos analíticos: líneas, canales, figuras geométricas e instrumentos de Gann, Fibonacci y Elliott * 9 periodos temporales: M1, M5, M15, M30, H1, H4, D1, W1 y MN * 3 tipos de gráficos: barras, velas japonesas y línea quebrada. ¡Descargue MetaTrader 4 para Android en su smartphone y tableta y opere en Fórex en cualquier momento, desde cualquier parte del mundo!",4.5,186285,128655,40182,[Tenemos varias correcciones y mejoras.]
Banco Falabella Colombia,"En Banco Falabella estamos renovando nuestra app móvil, pensando siempre en entregarte una mejor experiencia. Úsala para revisar tus saldos y movimientos, pagar tu tarjeta de crédito, transferir dinero y autorizar transacciones en internet con tu Clave Dinámica. • Revisa los últimos movimientos de tus cuentas y tarjetas de crédito • Autoriza tus pagos y transferencias con la nueva Clave Dinámica • Transfiere dinero a terceros y entre tus cuentas • Paga tu tarjeta de crédito • Paga servicios públicos que hayas inscrito desde la web",3.3,323,143,32,"[• Ahora puedes tocar tu Clave Dinámica para copiarla al portapapeles, facilitando las compras desde el navegador de tu teléfono, • Opción para crear un PIN de acceso para ver tu Clave Dinámica, • Mejoras generales de rendimiento y estabilidad]"
Banco de Bogotá,"Ahorrar tiempo con Banca Móvil Banco de Bogotá realizando sus transacciones de forma fácil y segura. Ese es el poder de hacer las cosas juntos! Una vez descargue la aplicación ingrese por la opción “REGÍSTRESE” y defina la clave segura, la cual se convertirá en su contraseña para el canal. Aquí puede realizar: • Consulta del saldo detallado de sus productos Banco de Bogota y productos con Bancos AVAL incluido Porvenir. • Pagos de servicios públicos y privados, Tarjetas de crédito propias y de otros bancos, créditos propios y Aval. • Transferencias a cuentas propias e inscritas, Avances de Tarjeta de Crédito sin clave, recargas a celular sin previa inscripción del número celular , Inversión y desinversión a encargos fiduciarios, Donaciones a Teletón, Utilización de cupo de crédito. • Consulta de extractos y certificados con envío al correo electrónico de su preferencia. • Control de la seguridad de sus productos: Bloqueo de Tarjeta Débito temporal por pérdida o robo, Habilitar sus compras por internet o internacionales de Tarjeta de crédito VISA, Cambiar su clave segura y conocer Recomendaciones de seguridad. ¡Importante! Para realizar el proceso de Registro es importante que tenga sus datos actualizados. Si no recibe el código para completar este proceso, debe actualizar sus datos a través de www.bancodebogota.com/transacciones Menú ""Servicios y Solicitudes"" opción ""Actualizar Datos"" o en Oficina. Para realizar transferencias y pagos debe tener inscritas las cuentas y los servicios. Puede realizar la inscripción en nuestra página de Internet www.bancodebogota.com/transacciones si tiene Token o en las oficinas del Banco de Bogotá.",4.1,11838,6920,2220,"[Realizar tus transferencias de forma fácil, rápida y segura, ese es el poder de hacer las cosas juntos., • Ahora puedes realizar transferencias a cuentas del Banco de Bogotá sin inscripción., • Nuestro Banco apoya la Visita Apostólica del Papa Francisco. Realiza tu donación., • Para mayor seguridad, ingresa a la aplicación con tu huella., • Ajustes para mejorar tu experiencia de uso en la aplicación.]"
Bitcoin Wallet - Airbitz,"Cartera de Bitcoin poderosa y fácil de utilizar que permite a los usuarios controlar sus propias claves privadas de Bitcoin con la familiaridad y facilidad de la banca móvil. Tome el control de sus fondos. Con Airbitz, solamente USTED tiene acceso a sus fondos o información de transacción. Ni Airbitz ni ningún tercero puede acceder a su dinero o a sus datos. Usted obtiene la privacidad financiera y la autonomía para la que fue diseñado el Bitcoin con la facilidad de uso que incluso la abuela podría manejar. Con un enfoque en ofrecer una experiencia de usuario increíble, la cartera Airbitz proporciona la siguiente gran funcionalidad: Cero conocimiento y cero acceso a fondos, claves o datos de transacción del usuario por Airbitz o terceros. Compra integrada de tarjetas de regalo con descuento (20% de descuento en Starbucks) Compra / Venta de Bitcoin integrada desde una cuenta bancaria enlazada Creación de cuenta simple utilizando simplemente un inicio de sesión y contraseña (sin imprimir PDF, escribir frases de paso o añadir ajustes de cifrado) Carteras de jerarquía determinista con direcciones cambiantes por cada transacción Búsqueda de transacciones por beneficiario, categoría o notas Límites de gasto (requiere contraseña o PIN para gastar por encima de los límites que ha establecido) Arquitectura de servidor descentralizada. Las cartes funcionan incluso si los servidores de Airbitz están caídos Código de fuente abierta. Disponible en https://github.com/Airbitz ***Nota de privacidad*** La aplicación Airbitz solicita acceso a la lista de contactos, ubicación e información personal del dispositivo. Esta información se utiliza en el dispositivo para proporcionar una experiencia de usuario mejorada en las siguientes formas: 1. Autocompletar contactos desde la libreta de direcciones del usuario después de una transacción 2. Autocompletar contactos desde la libreta de direcciones del usuario para enviar correos electrónicos o solicitudes de pago por SMS 3. Autocompletar nombres de anuncios de negocios después de una transacción 4. Geolocalización del dispositivo del usuario para encontrar negocios cercanos Ninguna información personal o información de lista de contactos deja el dispositivo sin ser primero cifrada por los credenciales del usuario (nombre de usuario / contraseña). Ni Airbitz ni ningún tercero tiene conocimiento de la información a la que accede la aplicación.",4.2,670,435,83,"[v 2.4.6, • Fix mining fee calculation to prevent zero fees]"
Red Coopcentral - Nueva versión,"Banca Móvil Red Coopcentral: Esta aplicación está diseñada para realizar transacciones de forma ágil y eficiente, ofreciendo las opciones necesarias para realizar las operaciones financieras a través de la Red Coopcentral.",4.0,1,0,1,[Aumento de tiempo en consulta de productos.]
Mycelium Bitcoin Wallet,"With the Mycelium Bitcoin Wallet you can send and receive Bitcoins using your mobile phone. The unparalleled cold storage functionality allows you to 100% secure your funds until you are ready to spend them, works for your paper wallets, private keys, master seeds: http://youtu.be/jV-29RFU6xA see also our promotional video ""Mycelia in Wonderland"" at https://www.youtube.com/watch?v=2_h9ZZwhwBg - 100% control over your private keys, they never leave your device unless you export them - No blockchain download, install and run in seconds - HD enabled - manage multiple accounts and never reuse addresses (BIP32, BIP44) - Ultra fast connection to the Bitcoin network through our super nodes - Watch-only addresses & private key import for secure cold-storage integration - Secure your wallet with a PIN - Compatible with other bitcoin services through bitcoin: uri handling - Support for BIP38 Keys - Find other people to trade Bitcoins with in person using our Local Trader feature. Please always make sure you have backups of your private keys! This application's source is published at https://github.com/mycelium-com/wallet We need your feedback. If you have a suggestion or a bug to report open an issue at https://github.com/mycelium-com/wallet/issues More features: - Master seed based - make one backup and be safe for ever. (BIP39) - 100% control over your private keys, they never leave your device unless you export them - manage your wallet on multiple devices without giving up control - For enhanced privacy and availability you can connect to our super nodes via a tor hidden-service ( .onion address) - dynamic fee handling to ensure timely execution of your transactions by the network, based on blockchain load - Show fee/byte in transaction details to determine execution time - Watch-only addresses (single key or HD) for a secure cold-storage integration - Private key (single or xPriv) import - Directly spend from paper wallets (single key, xPriv or master seed) - Hardware Wallet enabled - directly spend from your favorite Hardware wallet: - Trezor supported ? - Ledger supported ? (Nano, Nano-S, Unplugged, HW.1, Trustlet) - KeepKey supported ? - Mycelium Entropy compatible Shamir-Secret-Shared 2-out-of-3 keys spending - Encrypted PDF backup and restore of single key accounts - Send and receive by specifying an amount in Fiat and switch between fiat and BTC while entering the amount - Address book for commonly used addresses - Transaction history with full transaction details. - Share your bitcoin address using NFC, Twitter, Facebook, email and more. - BIP70 payment request compatible - Proof-of-Payment (BIP120/121), thanks Kalle Rosenbaum for the collaboration - Integration cashila.com to send money via SEPA wires within the European Union - Integration coinapult.com to lock value of your coins in USD/EUR/GBP, avoid exchange rate fluctuation. - Integration Glidera.io to buy bitcoin using your bank account in the US or Canada. - Support for BitID Authentication, securely login on websites using your wallet. - choose your favorite block explorer - warn about possible easier to be double spend transactions (RBF) and unconfirmed parent transactions - Deterministic signatures for Bitcoin transactions (RFC6979) - cold-spend from BIP38 NFC tags (body implants anyone?) - compact QR Codes (BIP73) Explanation for permission requests: - Location - used to update LocalTrader location - only when user manually updates it. - Camera/Microphone - Scan QR codes. Con el micelio Monedero Bitcoin puede enviar y recibir bitcoins utilizando su teléfono móvil. La funcionalidad de almacenamiento en frío sin precedentes que permite asegurar el 100% de sus fondos hasta que esté listo para pasar ellos, que funciona para sus carteras de papel, llaves privadas, los inóculos primarios: http://youtu.be/jV-29RFU6xA véase también nuestro video promocional ""micelios de las maravillas"" en https://www.youtube.com/watch?v=2_h9ZZwhwBg  - 100% de control sobre sus claves privadas, nunca deje el dispositivo a menos que les exporta  - No se descarga blockchain, instalar y ejecutar en cuestión de segundos  - HD habilitado - gestionar múltiples cuentas y nunca volver a usar direcciones (BIP32, BIP44)  - Ultra rápida conexión a la red Bitcoin a través de nuestros súper nodos  - Ve-sólo se refiere a la importación y la clave privada para la integración segura de almacenamiento en frío  - Asegure su cartera con un PIN  - Compatible con otros servicios a través de Bitcoin Bitcoin: gestión de URI  - Soporte para BIP38 Keys  - Encontrar a otras personas para el comercio con bitcoins en persona mediante la función de comerciante local. Por favor, siempre asegúrese de que tiene copias de seguridad de sus claves privadas! fuente de esta aplicación se publica en https://github.com/mycelium-com/wallet Necesitamos sus comentarios. Si tiene alguna sugerencia o algún error que informar de un problema abierto en https://github.com/mycelium-com/wallet/issues Más características:  - Las semillas de patrón basado - hacer una copia de seguridad y estar a salvo para siempre. (BIP39)  - 100% de control sobre sus claves privadas, nunca deje el dispositivo a menos que les exporta  - Gestionar su cartera en varios dispositivos sin ceder el control  - Para una mayor privacidad y la disponibilidad se puede conectar a nuestros súper nodos a través de un tor oculta de servicio (dirección .onion)  - Cuota de manejo dinámico para asegurar la ejecución oportuna de sus transacciones por la red, basándose en la carga blockchain  - Mostrar / tarifa de byte en detalles de la transacción para determinar el tiempo de ejecución  - Ver direcciones sólo sola tecla (o HD) para una integración segura de almacenamiento en frío  - La clave privada de importación (simple o xPriv)  - Directamente pasar de las billeteras de papel (clave única, xPriv o cultivo de referencia)  - Cartera de hardware habilitado - pasar directamente de su cartera de hardware favorita:  - Trezor apoyado ?  - Ledger apoya ? (Nano, Nano-S, Unplugged, HW.1, Trustlet)  - KeepKey apoyado ?  - El micelio entropía compatible Shamir-Secret-Shared teclas 2-fuera-de-3 el gasto  - Cifrado de copia de seguridad y restaurar PDF de grandes cuentas individuales  - Enviar y recibir mediante la especificación de una cantidad en Fiat y cambiar entre Fiat y BTC al introducir el importe  - Libreta de direcciones para las direcciones de uso común  - Historial de transacciones con los detalles completos de la transacción.  - Comparte su dirección bitcoin usando NFC, Twitter, Facebook, correo electrónico y más.  - Solicitud de pago BIP70 compatibles  - La prueba de pago (BIP120 / 121), gracias Kalle Rosenbaum para la colaboración  - Integración cashila.com para enviar dinero a través de los cables de la SEPA dentro de la Unión Europea  - Integración coinapult.com para bloquear valor de sus monedas en USD / EUR / GBP, evitar la fluctuación del tipo de cambio.  - Integración Glidera.io para comprar bitcoin utilizando su cuenta bancaria en los EE.UU. o Canadá.  - Soporte para la autenticación BitID, accedan de forma segura en los sitios web utilizando su billetera.  - Elija su favorito bloque explorador  - Advertir sobre posibles más fácil ser dobles transacciones de gasto (RBF) y las operaciones de padres sin confirmar  - Firma deterministas para las transacciones Bitcoin (RFC6979)  - Frío pasar de las etiquetas NFC BIP38 (implantes corporales alguien?)  - Códigos QR compactos (BIP73) Explicación de las solicitudes de permiso: - Localización - se utiliza para actualizar la ubicación LocalTrader - sólo cuando el usuario actualiza manualmente. - Cámara / Micrófono - escanear códigos QR.",4.4,3735,2653,489,[bugfix: last release broke the AddressBook add entry button]
AV Villas App,"Descarga AV Villas App y haz tus transacciones con facilidad, cuando quieras: o Pagar servicios, obligaciones AVAL y T. Crédito o Hacer avance de T. Crédito y Rotativo a Cuenta AV Villas o Retirar sin Tarjeta en Cajero ATH o Recargar dinero a celular o Transferir a cuenta AV Villas, AVAL y otros bancos o Consultar tus productos o Pagar tus impuestos o Abrir y administrar tus Bolsillos de Ahorro o Corrección de errores en la aplicación",4.1,2387,1477,374,"[Registrarte en AV Villas App es sencillo, solo con los datos de los productos que tengas activos con el Banco., También podrás:, -Ingresar a Consultas y Transacciones con el servicio Touch ID. Ten en cuenta que tu dispositivo cuente con esta función, -Modificar el plazo de las compras o avances realizadas con tu Tarjeta de Crédito, -Realizar pagos dirigidos a compras o avances de tu Tarjeta Crédito o Dinero Extra desde tu Cuenta, -Pagar servicios públicos no inscritos e impuestos con código de barras]"
